,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8829365079365079,0.8833189282627485,0.8646362098138748,0.8738777255237281,0.9508319865243223
KNN,0.9873015873015873,0.9862660944206009,0.9862660944206009,0.9862660944206009,0.9968724957635843
Random Forest,0.998015873015873,0.9982817869415808,0.9974248927038627,0.9978531558608845,0.9999341177961135
SVM,0.5388888888888889,0.8,0.0034334763948497852,0.006837606837606838,0.9530012828025276
Neural Network,0.9873015873015873,0.9862660944206009,0.9862660944206009,0.9862660944206009,0.9982458863215242
