timestamp,src_ip,dst_ip,protocol,src_bytes,dst_bytes,src_port,dst_port,duration,count,srv_count,dst_host_count,dst_host_srv_count,logged_in
1744313634.2051826,0.0.0.0,0.0.0.0,udp,94,0,443,54984,0,150,3,150,3,0
1744313634.208247,0.0.0.0,0.0.0.0,udp,95,0,54984,443,0,150,6,150,6,0
1744313634.7183588,0.0.0.0,0.0.0.0,udp,177,0,64672,6881,0,150,56,150,56,0
1744313634.71941,0.0.0.0,0.0.0.0,udp,534,0,6881,64672,0,150,1,150,1,0
1744313635.3319383,0.0.0.0,0.0.0.0,unknown,60,0,0,0,0,150,52,150,52,0
1744313635.4076257,0.0.0.0,0.0.0.0,unknown,42,0,0,0,0,150,52,150,52,0
1744313635.4096448,192.168.1.6,13.127.247.216,tcp,66,0,28589,8081,0,33,33,33,33,0
1744313636.356257,192.168.1.6,13.127.247.216,tcp,66,0,28587,8081,0,33,33,33,33,0
1744313636.3577619,192.168.1.6,13.127.247.216,tcp,66,0,28588,8081,0,33,33,33,33,0
1744313636.3587742,192.168.1.6,13.127.247.216,tcp,66,0,28586,8081,0,33,33,33,33,0
1744313636.3587742,192.168.1.6,13.127.247.216,tcp,66,0,28591,8081,0,33,33,33,33,0
1744313636.3597722,192.168.1.6,13.127.247.216,tcp,66,0,28590,8081,0,33,33,33,33,0
1744313636.3597722,192.168.1.6,13.127.247.216,tcp,66,0,28592,8081,0,33,33,33,33,0
1744313636.3607712,192.168.1.6,13.127.247.216,tcp,66,0,28593,8081,0,33,33,33,33,0
1744313636.3617692,192.168.1.6,13.127.247.216,tcp,66,0,28594,8081,0,33,33,33,33,0
1744313636.3617692,192.168.1.6,13.127.247.216,tcp,66,0,28595,8081,0,33,33,33,33,0
1744313636.3629136,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,148,52,150,52,0
1744313636.3637776,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,148,52,150,52,0
1744313636.3647969,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,148,52,150,52,0
1744313636.3660326,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,148,52,150,52,0
1744313636.3660326,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,148,52,150,52,0
1744313636.4068573,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,148,52,150,52,0
1744313636.407865,192.168.1.6,13.127.247.216,tcp,66,0,28586,8081,0,33,33,33,33,0
1744313636.7789066,192.168.1.6,13.127.247.216,tcp,66,0,28589,8081,0,33,33,33,33,0
1744313636.7789066,192.168.1.6,13.127.247.216,tcp,66,0,28587,8081,0,33,33,33,33,0
1744313636.7837572,192.168.1.6,13.127.247.216,tcp,66,0,28588,8081,0,33,33,33,33,0
1744313636.7847757,192.168.1.6,13.127.247.216,tcp,66,0,28591,8081,0,33,33,33,33,0
1744313636.7857718,192.168.1.6,13.127.247.216,tcp,66,0,28590,8081,0,33,33,33,33,0
1744313636.7867782,192.168.1.6,13.127.247.216,tcp,66,0,28592,8081,0,33,33,33,33,0
1744313636.7877746,192.168.1.6,13.127.247.216,tcp,66,0,28593,8081,0,33,33,33,33,0
1744313636.7887735,192.168.1.6,13.127.247.216,tcp,66,0,28594,8081,0,33,33,33,33,0
1744313636.7887735,192.168.1.6,13.127.247.216,tcp,66,0,28595,8081,0,33,33,33,33,0
1744313636.78985,192.168.1.6,120.85.56.70,udp,107,0,6881,6881,0,1,1,1,1,0
1744313636.9478784,0.0.0.0,0.0.0.0,udp,166,0,6881,6881,0,146,55,150,56,0
1744313636.9488916,0.0.0.0,0.0.0.0,udp,127,0,6881,56982,0,146,1,150,1,0
1744313636.949922,0.0.0.0,0.0.0.0,udp,109,0,56982,6881,0,146,55,150,56,0
1744313636.961064,0.0.0.0,0.0.0.0,udp,442,0,6881,6881,0,146,55,150,56,0
1744313636.9926429,120.85.56.70,192.168.1.6,udp,89,0,6881,6881,0,10,3,10,3,0
1744313638.8991578,192.168.1.6,43.174.7.98,tcp,55,0,28542,443,0,1,1,1,1,0
1744313638.9080532,0.0.0.0,0.0.0.0,udp,166,0,18294,6881,0,138,55,150,56,0
1744313638.9090564,0.0.0.0,0.0.0.0,udp,513,0,6881,18294,0,138,6,150,6,0
1744313639.0104363,43.174.7.98,192.168.1.6,tcp,66,0,443,28542,0,9,1,10,1,0
1744313639.3269043,0.0.0.0,0.0.0.0,udp,166,0,18294,6881,0,134,52,150,56,0
1744313639.3278823,0.0.0.0,0.0.0.0,udp,513,0,6881,18294,0,134,6,150,6,0
1744313639.8370473,0.0.0.0,0.0.0.0,udp,177,0,6881,6881,0,134,52,150,56,0
1744313639.8381455,0.0.0.0,0.0.0.0,udp,512,0,6881,6881,0,134,52,150,56,0
1744313639.8566804,0.0.0.0,0.0.0.0,udp,177,0,6881,6881,0,134,52,150,56,0
1744313639.8576837,0.0.0.0,0.0.0.0,udp,177,0,6881,6881,0,134,52,150,56,0
1744313639.858695,0.0.0.0,0.0.0.0,udp,512,0,6881,6881,0,134,52,150,56,0
1744313639.9531198,0.0.0.0,0.0.0.0,udp,512,0,6881,6881,0,134,52,150,56,0
1744313639.9540737,0.0.0.0,0.0.0.0,udp,166,0,18294,6881,0,134,52,150,56,0
1744313639.9550767,0.0.0.0,0.0.0.0,udp,513,0,6881,18294,0,134,6,150,6,0
1744313639.9560792,0.0.0.0,0.0.0.0,udp,177,0,6881,6881,0,134,52,150,56,0
1744313640.3765702,0.0.0.0,0.0.0.0,udp,512,0,6881,6881,0,134,52,150,56,0
1744313640.3776062,192.168.1.6,172.17.144.1,tcp,66,0,28609,1523,0,10,5,10,5,0
1744313640.3971572,0.0.0.0,0.0.0.0,unknown,60,0,0,0,0,134,44,150,52,0
1744313640.604551,0.0.0.0,0.0.0.0,unknown,42,0,0,0,0,134,44,150,52,0
1744313640.6055427,192.168.1.6,13.127.247.216,tcp,66,0,28611,8081,0,13,13,33,33,0
1744313640.6901405,192.168.1.6,13.127.247.216,tcp,66,0,28613,8081,0,13,13,33,33,0
1744313640.6901405,192.168.1.6,13.127.247.216,tcp,66,0,28612,8081,0,13,13,33,33,0
1744313640.6912007,192.168.1.6,13.127.247.216,tcp,66,0,28610,8081,0,13,13,33,33,0
1744313640.6912007,192.168.1.6,13.127.247.216,tcp,66,0,28614,8081,0,13,13,33,33,0
1744313640.6941931,192.168.1.6,13.127.247.216,tcp,66,0,28615,8081,0,13,13,33,33,0
1744313640.6941931,52.105.231.41,192.168.1.6,tcp,54,0,443,28506,0,9,1,10,1,0
1744313641.3746223,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,130,44,150,52,0
1744313641.3766043,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,130,44,150,52,0
1744313641.3776352,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,130,44,150,52,0
1744313641.3786206,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,130,44,150,52,0
1744313641.3786206,192.168.1.6,172.17.144.1,tcp,66,0,28609,1523,0,10,5,10,5,0
1744313641.3816164,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,130,44,150,52,0
1744313641.6046443,0.0.0.0,0.0.0.0,unknown,86,0,0,0,0,130,44,150,52,0
1744313641.605641,192.168.1.6,13.127.247.216,tcp,66,0,28611,8081,0,13,13,33,33,0
1744313641.7873697,192.168.1.6,13.127.247.216,tcp,66,0,28610,8081,0,13,13,33,33,0
1744313641.788378,192.168.1.6,13.127.247.216,tcp,66,0,28612,8081,0,13,13,33,33,0
1744313641.7893796,192.168.1.6,13.127.247.216,tcp,66,0,28613,8081,0,13,13,33,33,0
1744313641.7893796,192.168.1.6,13.127.247.216,tcp,66,0,28614,8081,0,13,13,33,33,0
1744313641.7913842,192.168.1.6,13.127.247.216,tcp,66,0,28615,8081,0,13,13,33,33,0
1744313641.7924054,192.168.1.6,188.163.42.127,udp,107,0,6881,1631,0,1,1,1,1,0
1744313641.8285832,0.0.0.0,0.0.0.0,udp,166,0,6881,15829,0,130,1,150,1,0
1744313641.829604,0.0.0.0,0.0.0.0,udp,127,0,6881,20549,0,130,1,150,1,0
1744313641.8305724,0.0.0.0,0.0.0.0,udp,152,0,20549,6881,0,130,50,150,56,0
1744313641.8642783,0.0.0.0,0.0.0.0,udp,177,0,10777,6881,0,125,45,150,56,0
1744313641.865663,0.0.0.0,0.0.0.0,udp,492,0,6881,10777,0,125,4,150,4,0
1744313641.8686812,0.0.0.0,0.0.0.0,udp,177,0,10777,6881,0,125,45,150,56,0
1744313641.870674,0.0.0.0,0.0.0.0,udp,492,0,6881,10777,0,125,4,150,4,0
1744313641.9590852,0.0.0.0,0.0.0.0,udp,442,0,15829,6881,0,121,42,150,56,0
