timestamp,src_ip,dst_ip,protocol,src_bytes,dst_bytes,src_port,dst_port,duration,count,srv_count,dst_host_count,dst_host_srv_count,logged_in
1744339404.7013261,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7013261,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7023406,0.0.0.0,0.0.0.0,tcp,372,0,443,23976,0,172,99,172,99,0
1744339404.7023406,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7033405,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7037804,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7037804,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7051504,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7073095,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7073095,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7083633,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7083633,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7095113,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7095113,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.710525,0.0.0.0,0.0.0.0,tcp,948,0,443,23976,0,172,99,172,99,0
1744339404.7110586,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7110586,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7120755,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7120755,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7130737,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7130737,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7141056,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7141056,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.715077,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7160769,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7160769,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7171023,0.0.0.0,0.0.0.0,tcp,979,0,443,23976,0,172,99,172,99,0
1744339404.7171023,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7180917,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.7190754,0.0.0.0,0.0.0.0,tcp,978,0,443,23976,0,172,99,172,99,0
1744339404.7190754,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.720075,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.720075,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.721092,0.0.0.0,0.0.0.0,tcp,74,0,23976,443,0,172,8,172,8,0
1744339404.8276584,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.8286393,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.82964,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.8306394,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.8306394,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.8316386,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.8316386,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.832639,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.83364,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
1744339404.83364,0.0.0.0,0.0.0.0,tcp,1486,0,443,23976,0,172,99,172,99,0
