timestamp,src_ip,dst_ip,protocol,src_bytes,dst_bytes,src_port,dst_port,duration,count,srv_count,dst_host_count,dst_host_srv_count,logged_in
1744263208.3295364,0.0.0.0,0.0.0.0,udp,100,0,62094,53,0,268,7,268,7,0
1744263208.331537,0.0.0.0,0.0.0.0,udp,100,0,55963,53,0,268,7,268,7,0
1744263208.3735607,0.0.0.0,0.0.0.0,udp,100,0,49358,53,0,268,7,268,7,0
1744263208.377547,0.0.0.0,0.0.0.0,udp,156,0,53,62094,0,268,1,268,1,0
1744263208.3795378,0.0.0.0,0.0.0.0,udp,178,0,53,55963,0,268,1,268,1,0
1744263208.3815346,0.0.0.0,0.0.0.0,udp,144,0,53,49358,0,268,1,268,1,0
1744263208.382552,0.0.0.0,0.0.0.0,tcp,86,0,44659,443,0,268,29,268,29,0
1744263208.4035356,0.0.0.0,0.0.0.0,tcp,86,0,443,44659,0,268,19,268,19,0
1744263208.422153,0.0.0.0,0.0.0.0,tcp,74,0,44659,443,0,268,29,268,29,0
1744263208.4241638,0.0.0.0,0.0.0.0,tcp,591,0,44659,443,0,268,29,268,29,0
1744263208.4451656,0.0.0.0,0.0.0.0,tcp,74,0,443,44659,0,268,19,268,19,0
1744263208.507185,0.0.0.0,0.0.0.0,tcp,1294,0,443,44659,0,268,19,268,19,0
1744263208.5204918,0.0.0.0,0.0.0.0,tcp,1294,0,443,44659,0,268,19,268,19,0
1744263208.522504,0.0.0.0,0.0.0.0,tcp,1294,0,443,44659,0,268,19,268,19,0
1744263208.5234892,0.0.0.0,0.0.0.0,tcp,1294,0,443,44659,0,268,19,268,19,0
1744263208.5244915,0.0.0.0,0.0.0.0,tcp,1294,0,443,44659,0,268,19,268,19,0
1744263208.5254889,0.0.0.0,0.0.0.0,tcp,595,0,443,44659,0,268,19,268,19,0
1744263208.5265028,0.0.0.0,0.0.0.0,tcp,154,0,44659,443,0,268,29,268,29,0
1744263208.5475059,0.0.0.0,0.0.0.0,tcp,166,0,44659,443,0,268,29,268,29,0
1744263208.5485044,0.0.0.0,0.0.0.0,tcp,1486,0,44659,443,0,268,29,268,29,0
1744263208.5495045,0.0.0.0,0.0.0.0,tcp,811,0,44659,443,0,268,29,268,29,0
1744263208.5505052,0.0.0.0,0.0.0.0,tcp,86,0,443,44659,0,268,19,268,19,0
1744263208.5775099,0.0.0.0,0.0.0.0,tcp,74,0,443,44659,0,268,19,268,19,0
1744263208.578509,0.0.0.0,0.0.0.0,tcp,722,0,443,44659,0,268,19,268,19,0
1744263208.5794888,0.0.0.0,0.0.0.0,tcp,105,0,443,44659,0,268,19,268,19,0
1744263208.5804908,0.0.0.0,0.0.0.0,tcp,74,0,443,44659,0,268,19,268,19,0
1744263208.5815136,0.0.0.0,0.0.0.0,tcp,105,0,44659,443,0,268,29,268,29,0
1744263208.5825167,0.0.0.0,0.0.0.0,tcp,74,0,443,44659,0,268,19,268,19,0
1744263208.625227,0.0.0.0,0.0.0.0,udp,94,0,443,64265,0,268,3,268,3,0
1744263208.6342134,192.168.1.6,13.127.247.216,tcp,66,0,44660,8081,0,124,120,124,120,0
1744263208.6362023,192.168.1.6,13.127.247.216,tcp,66,0,44662,8081,0,124,120,124,120,0
1744263208.6372023,192.168.1.6,13.127.247.216,tcp,66,0,44661,8081,0,124,120,124,120,0
1744263208.6382167,192.168.1.6,13.127.247.216,tcp,66,0,44664,8081,0,124,120,124,120,0
1744263208.6382167,192.168.1.6,13.127.247.216,tcp,66,0,44663,8081,0,124,120,124,120,0
1744263208.6392164,192.168.1.6,13.127.247.216,tcp,66,0,44665,8081,0,124,120,124,120,0
1744263208.640217,192.168.1.6,13.127.247.216,tcp,66,0,44666,8081,0,124,120,124,120,0
1744263208.640217,192.168.1.6,13.127.247.216,tcp,66,0,44667,8081,0,124,120,124,120,0
1744263208.6412191,192.168.1.6,13.127.247.216,tcp,66,0,44668,8081,0,124,120,124,120,0
1744263208.642206,192.168.1.6,13.127.247.216,tcp,66,0,44669,8081,0,124,120,124,120,0
1744263208.644217,0.0.0.0,0.0.0.0,udp,95,0,64265,443,0,268,29,268,29,0
1744263208.7062159,0.0.0.0,0.0.0.0,tcp,1294,0,443,44659,0,268,19,268,19,0
1744263208.7192123,0.0.0.0,0.0.0.0,tcp,451,0,443,44659,0,268,19,268,19,0
1744263208.7226286,0.0.0.0,0.0.0.0,tcp,483,0,443,44659,0,268,19,268,19,0
1744263208.7246137,0.0.0.0,0.0.0.0,tcp,113,0,443,44659,0,268,19,268,19,0
1744263208.7276204,0.0.0.0,0.0.0.0,tcp,113,0,44659,443,0,268,29,268,29,0
1744263208.7456179,0.0.0.0,0.0.0.0,tcp,74,0,443,44659,0,268,19,268,19,0
1744263209.0132027,0.0.0.0,0.0.0.0,udp,224,0,23121,6881,0,268,68,268,68,0
